"Timestamp","Queue Difference Metric"
"2023-08-23T12:40:42.270426","263"
"2023-08-23T12:40:43.966647","259"
"2023-08-23T12:40:45.415885","256"
"2023-08-23T12:40:47.000489","252"
"2023-08-23T12:40:48.370859","249"
"2023-08-23T12:40:49.724540","247"
"2023-08-23T12:40:50.963645","244"
"2023-08-23T12:40:52.226698","241"
"2023-08-23T12:40:53.476820","238"
"2023-08-23T12:40:54.751051","235"
"2023-08-23T12:40:56.054403","232"
"2023-08-23T12:40:57.315578","229"
"2023-08-23T12:40:58.570064","226"
"2023-08-23T12:40:59.854212","223"
"2023-08-23T12:41:01.070200","220"
"2023-08-23T12:41:02.300211","217"
"2023-08-23T12:41:03.515051","214"
"2023-08-23T12:41:04.765277","211"
"2023-08-23T12:41:06.018147","208"
"2023-08-23T12:41:07.244086","205"
"2023-08-23T12:41:08.486580","202"
"2023-08-23T12:41:09.719565","199"
"2023-08-23T12:41:10.929243","196"
"2023-08-23T12:41:12.165137","193"
"2023-08-23T12:41:13.384045","190"
"2023-08-23T12:41:14.609612","187"
"2023-08-23T12:41:15.802307","184"
"2023-08-23T12:41:17.040467","181"
"2023-08-23T12:41:18.274541","178"
"2023-08-23T12:41:19.501923","175"
"2023-08-23T12:41:20.762357","172"
"2023-08-23T12:41:22.037667","169"
"2023-08-23T12:41:23.246589","166"
"2023-08-23T12:41:24.489546","163"
"2023-08-23T12:41:25.707708","160"
"2023-08-23T12:41:26.944506","157"
"2023-08-23T12:41:28.177971","154"
"2023-08-23T12:41:29.396422","151"
"2023-08-23T12:41:30.637041","148"
"2023-08-23T12:41:31.849300","145"
"2023-08-23T12:41:33.080847","142"
"2023-08-23T12:41:34.296280","139"
"2023-08-23T12:41:35.521329","136"
"2023-08-23T12:41:36.768767","133"
"2023-08-23T12:41:38.009065","130"
"2023-08-23T12:41:39.208660","127"
"2023-08-23T12:41:40.422508","124"
"2023-08-23T12:41:41.664364","121"
"2023-08-23T12:41:42.877022","118"
"2023-08-23T12:41:44.072965","115"
"2023-08-23T12:41:45.304979","112"
"2023-08-23T12:41:46.588017","109"
"2023-08-23T12:41:47.954654","106"
"2023-08-23T12:41:49.182176","103"
"2023-08-23T12:41:50.394294","100"
"2023-08-23T12:41:51.605375","97"
"2023-08-23T12:41:52.925132","94"
"2023-08-23T12:41:54.129539","91"
"2023-08-23T12:41:55.343993","88"
"2023-08-23T12:41:56.578091","85"
"2023-08-23T12:41:57.804768","82"
"2023-08-23T12:41:59.038116","79"
"2023-08-23T12:42:00.248936","76"
"2023-08-23T12:42:01.479710","73"
"2023-08-23T12:42:02.682577","70"
