@relation merged_dataset

@attribute Timestamp {2023-08-23T12:40:41.092405,2023-08-23T12:40:42.943495,2023-08-23T12:40:44.200191,2023-08-23T12:40:45.524588,2023-08-23T12:40:46.963871,2023-08-23T12:40:48.366540,2023-08-23T12:40:49.758103,2023-08-23T12:40:51.126216,2023-08-23T12:40:52.364203,2023-08-23T12:40:53.623668,2023-08-23T12:40:54.953372,2023-08-23T12:40:56.215080,2023-08-23T12:40:57.485388,2023-08-23T12:40:58.763786,2023-08-23T12:41:00.004808,2023-08-23T12:41:01.219669,2023-08-23T12:41:02.444162,2023-08-23T12:41:03.687469,2023-08-23T12:41:04.914360,2023-08-23T12:41:06.134135,2023-08-23T12:41:07.387826,2023-08-23T12:41:08.626531,2023-08-23T12:41:09.859035,2023-08-23T12:41:11.097896,2023-08-23T12:41:12.320946,2023-08-23T12:41:13.541189,2023-08-23T12:41:14.749836,2023-08-23T12:41:15.978964,2023-08-23T12:41:17.279700,2023-08-23T12:41:18.512998,2023-08-23T12:41:19.784709,2023-08-23T12:41:20.991033,2023-08-23T12:41:22.192136,2023-08-23T12:41:23.425115,2023-08-23T12:41:24.633144,2023-08-23T12:41:25.847682,2023-08-23T12:41:27.081484,2023-08-23T12:41:28.315136,2023-08-23T12:41:29.605275,2023-08-23T12:41:30.854163,2023-08-23T12:41:32.055984,2023-08-23T12:41:33.287224,2023-08-23T12:41:34.487211,2023-08-23T12:41:35.712085,2023-08-23T12:41:36.927216,2023-08-23T12:41:38.152614,2023-08-23T12:41:39.354652,2023-08-23T12:41:40.608552,2023-08-23T12:41:41.806567,2023-08-23T12:41:43.010020,2023-08-23T12:41:44.241885,2023-08-23T12:41:45.460453,2023-08-23T12:41:46.791888,2023-08-23T12:41:48.062588,2023-08-23T12:41:49.293700,2023-08-23T12:41:50.534084,2023-08-23T12:41:51.772424,2023-08-23T12:41:52.996702,2023-08-23T12:41:54.212797,2023-08-23T12:41:55.439127,2023-08-23T12:41:56.684966,2023-08-23T12:41:57.917113,2023-08-23T12:41:59.140732,2023-08-23T12:42:00.359468,2023-08-23T12:42:01.570906,2023-08-23T12:42:02.785138,2023-08-23T12:42:04.036242,2023-08-23T12:42:05.274700,2023-08-23T12:42:06.497242,2023-08-23T12:42:07.712394,2023-08-23T12:42:08.965196,2023-08-23T12:42:10.209481,2023-08-23T12:42:11.426336,2023-08-23T12:42:12.687903,2023-08-23T12:42:13.920055,2023-08-23T12:42:15.150532,2023-08-23T12:42:16.345026,2023-08-23T12:42:17.595310,2023-08-23T12:42:18.791066,2023-08-23T12:42:20.068706,2023-08-23T12:42:21.314510,2023-08-23T12:42:22.524275,2023-08-23T12:42:23.772974,2023-08-23T12:42:25.015142,2023-08-23T12:42:26.231510,2023-08-23T12:42:27.455971,2023-08-23T12:42:28.667322,2023-08-23T12:42:29.886320,2023-08-23T12:42:31.083045,2023-08-23T12:42:32.292488,2023-08-23T12:42:33.507266,2023-08-23T12:42:34.706697,2023-08-23T12:42:35.920139,2023-08-23T12:42:37.132428,2023-08-23T12:42:38.323403,2023-08-23T12:42:39.528715,2023-08-23T12:42:40.763016,2023-08-23T12:42:41.992731,2023-08-23T12:42:43.201315,2023-08-23T12:42:44.421491,2023-08-23T12:42:45.616411,2023-08-23T12:42:46.861621,2023-08-23T12:42:48.079041,2023-08-23T12:42:49.283902,2023-08-23T12:42:50.496576,2023-08-23T12:42:51.738204,2023-08-23T12:42:52.943654,2023-08-23T12:42:54.165725,2023-08-23T12:42:55.395018,2023-08-23T12:42:56.596425,2023-08-23T12:42:57.810717,2023-08-23T12:42:59.035070,2023-08-23T12:43:00.249900,2023-08-23T12:43:01.502879,2023-08-23T12:43:02.719697,2023-08-23T12:43:03.915342,2023-08-23T12:43:05.170985,2023-08-23T12:43:06.370799,2023-08-23T12:43:07.579710,2023-08-23T12:43:08.760744,2023-08-23T12:43:10.000994,2023-08-23T12:43:11.220560,2023-08-23T12:43:12.474727,2023-08-23T12:43:13.662559}
@attribute Message {goodbys}
@attribute MessageNumber numeric
@attribute 'Queue Size' numeric
@attribute 'Queue Difference Metric' numeric
@attribute 'Latency (ms)' numeric
@attribute 'Message Size (bytes)' numeric
@attribute 'Throughput (messages/sec)' numeric
@attribute 'Used Memory (bytes)' numeric

@data
2023-08-23T12:40:41.092405,goodbys,34,2263,264,1001,10,0.295508,55484760
2023-08-23T12:40:42.943495,goodbys,35,2259,261,1000,10,0.62383,27533288
2023-08-23T12:40:44.200191,goodbys,36,2257,258,1001,10,0.783085,38561200
2023-08-23T12:40:45.524588,goodbys,37,2255,255,1000,10,0.713776,49837528
2023-08-23T12:40:46.963871,goodbys,38,2251,252,1000,10,0.669792,60529592
2023-08-23T12:40:48.366540,goodbys,39,2248,249,1000,10,0.74129,75631720
2023-08-23T12:40:49.758103,goodbys,40,2244,246,1000,10,0.710732,46207720
2023-08-23T12:40:51.126216,goodbys,41,2241,243,1000,10,0.805153,56630504
2023-08-23T12:40:52.364203,goodbys,42,2238,240,1001,10,0.794281,67419104
2023-08-23T12:40:53.623668,goodbys,43,2235,237,1000,10,0.768049,77993768
2023-08-23T12:40:54.953372,goodbys,44,2232,234,1001,10,0.778816,34297760
2023-08-23T12:40:56.215080,goodbys,45,2229,231,1000,10,0.77101,45051584
2023-08-23T12:40:57.485388,goodbys,46,2226,228,1000,10,0.798722,56239256
2023-08-23T12:40:58.763786,goodbys,47,2223,225,1000,10,0.791766,70675768
2023-08-23T12:41:00.004808,goodbys,48,2220,222,1000,10,0.8285,26573600
2023-08-23T12:41:01.219669,goodbys,49,2217,219,1000,10,0.811688,37696704
2023-08-23T12:41:02.444162,goodbys,50,2214,216,1000,10,0.815661,48431952
2023-08-23T12:41:03.687469,goodbys,51,2211,213,1000,10,0.798722,59513808
2023-08-23T12:41:04.914360,goodbys,52,2208,210,1000,10,0.8285,70758520
2023-08-23T12:41:06.134135,goodbys,53,2205,207,1000,10,0.810373,27411848
2023-08-23T12:41:07.387826,goodbys,54,2202,204,1000,10,0.798085,39065784
2023-08-23T12:41:08.626531,goodbys,55,2199,201,1001,10,0.803213,53079568
2023-08-23T12:41:09.859035,goodbys,56,2196,198,1000,10,0.805802,64688112
2023-08-23T12:41:11.097896,goodbys,57,2193,195,1001,10,0.819672,76047656
2023-08-23T12:41:12.320946,goodbys,58,2190,192,1000,10,0.823723,31731240
2023-08-23T12:41:13.541189,goodbys,59,2187,189,1001,10,0.822368,42999336
2023-08-23T12:41:14.749836,goodbys,60,2184,186,1001,10,0.81367,54356224
2023-08-23T12:41:15.978964,goodbys,61,2181,183,1000,10,0.787402,77345352
2023-08-23T12:41:17.279700,goodbys,62,2178,180,1000,10,0.798085,33350624
2023-08-23T12:41:18.512998,goodbys,63,2175,177,1000,10,0.786782,50545168
2023-08-23T12:41:19.784709,goodbys,64,2172,174,1000,10,0.821018,63435896
2023-08-23T12:41:20.991033,goodbys,65,2169,171,1000,10,0.832639,74797672
2023-08-23T12:41:22.192136,goodbys,66,2166,168,1000,10,0.816993,31524072
2023-08-23T12:41:23.425115,goodbys,67,2163,165,1000,10,0.821018,42714968
2023-08-23T12:41:24.633144,goodbys,68,2160,162,1000,10,0.824402,54338576
2023-08-23T12:41:25.847682,goodbys,69,2157,159,1000,10,0.814996,65926184
2023-08-23T12:41:27.081484,goodbys,70,2154,156,1001,10,0.811688,77531256
2023-08-23T12:41:28.315136,goodbys,71,2151,153,1000,10,0.783085,36587000
2023-08-23T12:41:29.605275,goodbys,72,2148,150,1001,10,0.787402,48443336
2023-08-23T12:41:30.854163,goodbys,73,2145,147,1000,10,0.830565,60162928
2023-08-23T12:41:32.055984,goodbys,74,2142,144,1001,10,0.811688,71751072
2023-08-23T12:41:33.287224,goodbys,75,2139,141,1000,10,0.839631,28295760
2023-08-23T12:41:34.487211,goodbys,76,2136,138,1000,10,0.809061,40265048
2023-08-23T12:41:35.712085,goodbys,77,2133,135,1000,10,0.829187,52194656
2023-08-23T12:41:36.927216,goodbys,78,2130,132,1000,10,0.81367,63595760
2023-08-23T12:41:38.152614,goodbys,79,2127,129,1000,10,0.831947,76238336
2023-08-23T12:41:39.354652,goodbys,80,2124,126,1000,10,0.801282,35384816
2023-08-23T12:41:40.608552,goodbys,81,2121,123,1001,10,0.830565,47080864
2023-08-23T12:41:41.806567,goodbys,82,2118,120,1000,10,0.830565,59232768
2023-08-23T12:41:43.010020,goodbys,83,2115,117,1000,10,0.816327,70851560
2023-08-23T12:41:44.241885,goodbys,84,2112,114,1000,10,0.819672,28001640
2023-08-23T12:41:45.460453,goodbys,85,2109,111,1000,10,0.759878,39694696
2023-08-23T12:41:46.791888,goodbys,86,2106,108,1000,10,0.781861,52429992
2023-08-23T12:41:48.062588,goodbys,87,2103,105,1001,10,0.813008,64323248
2023-08-23T12:41:49.293700,goodbys,88,2100,102,1000,10,0.807103,29251344
2023-08-23T12:41:50.534084,goodbys,89,2097,99,1000,10,0.802568,41528720
2023-08-23T12:41:51.772424,goodbys,90,2094,96,1001,10,0.821018,53683816
2023-08-23T12:41:52.996702,goodbys,91,2091,93,1000,10,0.821018,65339504
2023-08-23T12:41:54.212797,goodbys,92,2088,90,1000,10,0.819672,78023328
2023-08-23T12:41:55.439127,goodbys,93,2085,87,1000,10,0.808407,33506256
2023-08-23T12:41:56.684966,goodbys,94,2082,84,1000,10,0.800641,45840584
2023-08-23T12:41:57.917113,goodbys,95,2079,81,1001,10,0.826446,58919864
2023-08-23T12:41:59.140732,goodbys,96,2076,78,1001,10,0.811688,74001744
2023-08-23T12:42:00.359468,goodbys,97,2073,75,1000,10,0.832639,31182920
2023-08-23T12:42:01.570906,goodbys,98,2070,72,1000,10,0.817661,44031272
2023-08-23T12:42:02.785138,goodbys,99,2067,69,1000,10,0.815661,56348056
2023-08-23T12:42:04.036242,goodbys,100,2064,66,1000,11,0.791766,68650280
