"Timestamp","Queue Difference Metric"
"2023-08-23T12:39:58.014568","2"
"2023-08-23T12:39:59.239853","387"
"2023-08-23T12:40:00.369607","826"
"2023-08-23T12:40:01.644220","328"
"2023-08-23T12:40:02.905235","863"
"2023-08-23T12:40:04.192058","294"
"2023-08-23T12:40:05.457448","293"
"2023-08-23T12:40:06.755179","292"
"2023-08-23T12:40:08.011934","291"
"2023-08-23T12:40:09.282482","290"
"2023-08-23T12:40:10.572461","289"
"2023-08-23T12:40:11.833420","288"
"2023-08-23T12:40:13.095967","287"
"2023-08-23T12:40:14.338189","286"
"2023-08-23T12:40:15.571744","285"
"2023-08-23T12:40:16.828711","284"
"2023-08-23T12:40:18.067970","283"
"2023-08-23T12:40:19.344522","282"
"2023-08-23T12:40:20.619175","281"
"2023-08-23T12:40:21.863354","280"
"2023-08-23T12:40:23.122971","279"
"2023-08-23T12:40:24.344803","278"
"2023-08-23T12:40:25.606158","277"
"2023-08-23T12:40:26.870834","276"
"2023-08-23T12:40:28.117710","275"
"2023-08-23T12:40:29.394509","274"
"2023-08-23T12:40:30.658041","273"
"2023-08-23T12:40:31.916974","272"
"2023-08-23T12:40:33.191589","271"
"2023-08-23T12:40:34.497744","270"
"2023-08-23T12:40:35.804805","269"
"2023-08-23T12:40:37.116696","268"
"2023-08-23T12:40:38.387945","267"
"2023-08-23T12:40:39.826879","266"
"2023-08-23T12:40:41.119964","264"
"2023-08-23T12:40:42.482601","262"
"2023-08-23T12:40:43.806664","260"
"2023-08-23T12:40:45.118947","257"
"2023-08-23T12:40:46.677534","254"
"2023-08-23T12:40:48.148443","251"
"2023-08-23T12:40:49.414222","248"
"2023-08-23T12:40:50.744875","245"
"2023-08-23T12:40:51.967348","242"
"2023-08-23T12:40:53.195253","239"
"2023-08-23T12:40:54.421645","236"
"2023-08-23T12:40:55.666691","233"
"2023-08-23T12:40:56.928733","230"
"2023-08-23T12:40:58.177409","227"
"2023-08-23T12:40:59.437889","224"
"2023-08-23T12:41:00.723497","221"
"2023-08-23T12:41:01.954485","218"
"2023-08-23T12:41:03.197891","215"
"2023-08-23T12:41:04.411585","212"
"2023-08-23T12:41:05.630429","209"
"2023-08-23T12:41:06.865666","206"
"2023-08-23T12:41:08.119939","203"
"2023-08-23T12:41:09.377482","200"
"2023-08-23T12:41:10.615772","197"
"2023-08-23T12:41:11.831347","194"
"2023-08-23T12:41:13.062220","191"
"2023-08-23T12:41:14.292696","188"
"2023-08-23T12:41:15.531895","185"
"2023-08-23T12:41:16.765144","182"
"2023-08-23T12:41:17.994407","179"
"2023-08-23T12:41:19.233096","176"
"2023-08-23T12:41:20.514852","173"
